"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 13 06:37:26 GMT 2025","Tue May 13 06:37:30 GMT 2025","3937","LMS System","Courses","Courses","","","Create course",""
"passed","Tue May 13 06:37:16 GMT 2025","Tue May 13 06:37:19 GMT 2025","2851","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue May 13 06:37:24 GMT 2025","Tue May 13 06:37:25 GMT 2025","1751","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue May 13 06:37:12 GMT 2025","Tue May 13 06:37:19 GMT 2025","6253","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue May 13 06:37:19 GMT 2025","Tue May 13 06:37:22 GMT 2025","2736","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Tue May 13 06:37:28 GMT 2025","Tue May 13 06:37:31 GMT 2025","3350","LMS System","Courses","Courses","","","Edit course",""
"passed","Tue May 13 06:37:19 GMT 2025","Tue May 13 06:37:21 GMT 2025","1737","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue May 13 06:37:23 GMT 2025","Tue May 13 06:37:26 GMT 2025","2929","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue May 13 06:37:31 GMT 2025","Tue May 13 06:37:33 GMT 2025","1927","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue May 13 06:37:12 GMT 2025","Tue May 13 06:37:15 GMT 2025","2704","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
